EV      	Name                  	Team 	TEV   	Pos 	GP 	SGP 	G  	A  	P   	ESP
 75.355 	Matt Duchene          	DAL  	0.925 	F   	82 	 31 	30 	52 	 82 	 55
 74.394 	Roope Hintz           	DAL  	0.925 	F   	76 	 29 	28 	39 	 67 	 45
 73.715 	Nico Hischier         	NJD  	0.933 	F   	75 	 24 	35 	34 	 69 	 38
 73.590 	Sebastian Aho         	CAR  	1.120 	F   	79 	 28 	29 	45 	 74 	 44
 72.735 	Jason Robertson       	DAL  	0.925 	F   	82 	 31 	35 	45 	 80 	 61
 69.419 	Matthew Knies         	TOR  	1.068 	F   	78 	 31 	29 	29 	 58 	 42
 68.755 	Pierre-Luc Dubois     	WSH  	1.087 	F   	82 	 31 	20 	46 	 66 	 52
 68.544 	Martin Necas          	COL  	0.976 	F   	79 	 26 	27 	56 	 83 	 46
 68.441 	Brayden Point         	TBL  	0.903 	F   	77 	 32 	42 	40 	 82 	 51
 68.120 	Jake Guentzel         	TBL  	0.903 	F   	80 	 31 	41 	39 	 80 	 51
 65.689 	Gabriel Vilardi       	WPG  	1.159 	F   	71 	 18 	27 	34 	 61 	 36
 65.660 	Nikolaj Ehlers        	WPG  	1.159 	F   	69 	 25 	24 	39 	 63 	 41
 63.804 	Josh Morrissey        	WPG  	1.159 	D   	80 	 27 	14 	48 	 62 	 40
 63.734 	Adrian Kempe          	LAK  	0.899 	F   	81 	 32 	35 	38 	 73 	 54
 63.493 	Ivan Barbashev        	VGK  	1.175 	F   	70 	 28 	23 	28 	 51 	 48
 62.947 	Quinton Byfield       	LAK  	0.899 	F   	81 	 32 	23 	31 	 54 	 46
 62.665 	Wyatt Johnston        	DAL  	0.925 	F   	82 	 31 	33 	38 	 71 	 43
 61.599 	Tim Stützle           	OTT  	0.834 	F   	82 	 31 	24 	55 	 79 	 46
 61.234 	William Karlsson      	VGK  	1.175 	F   	53 	 15 	 9 	20 	 29 	 21
 61.117 	Cole Perfetti         	WPG  	1.159 	F   	82 	 29 	18 	32 	 50 	 35
 61.011 	Kevin Fiala           	LAK  	0.899 	F   	81 	 33 	35 	25 	 60 	 35
 60.440 	Mikko Rantanen        	DAL  	0.925 	F   	82 	 30 	32 	56 	 88 	 62
